volcano_name,country,type,latitude_(dd),longitude_(dd),elevation_(m),continent
Poas,Costa Rica,Stratovolcano,10.2,-84.23,2708,North America
Popocatepetl,Mexico,Stratovolcano,19.02,-98.62,5246,North America
Prevo Peak,Russia,Stratovolcano,47.02,152.12,1360,Europe
Purace,Colombia,Stratovolcano,2.32,-76.4,4650,South America
"Quill, The",Netherlands,Stratovolcano,17.48,-62.96,601,Europe
Rabaul,Papua New Guinea,Shield,-4.27,152.2,688,Australia
Ragang,Philippines,Stratovolcano,7.7,124.5,2815,Asia
Raikoke,Russia,Stratovolcano,48.29,153.25,551,Europe
Rainier,United States,Stratovolcano,46.85,-121.76,4392,North America
Rajabasa,Indonesia,Stratovolcano,-5.78,105.63,1281,Asia
Raoul,New Zealand,Stratovolcano,-29.27,-177.92,516,Australia
Rasshua,Russia,Stratovolcano,47.77,153.02,956,Europe
Raung,Indonesia,Stratovolcano,-8.13,114.04,3332,Asia
Rausu,Japan,Stratovolcano,44.07,145.13,1660,Asia
Redoubt,United States,Stratovolcano,60.49,-152.74,3108,North America
Reventador,Ecuador,Stratovolcano,-0.08,-77.66,3562,South America
Rincon de la Vieja,Costa Rica,Complex,10.83,-85.32,1916,North America
Roundtop,United States,Stratovolcano,54.8,-163.59,1871,North America
Ruapehu,New Zealand,Stratovolcano,-39.28,175.57,2797,Australia
Rudakov,Russia,Stratovolcano,45.88,149.83,542,Europe
"Ruiz, Nevado del",Colombia,Stratovolcano,4.89,-75.32,5321,South America
Rumble IV,New Zealand,Submarine,-36.13,178.05,500,Australia
Saba,Netherlands,Stratovolcano,17.63,-63.23,887,Europe
Sabancaya,Peru,Stratovolcano,-15.78,-71.85,5967,South America
Sakar,Papua New Guinea,Stratovolcano,-5.41,148.09,992,Australia
Sakura-jima,Japan,Stratovolcano,31.59,130.66,1117,Asia
Salak,Indonesia,Stratovolcano,-6.72,106.73,2211,Asia
San Cristobal,Nicaragua,Stratovolcano,12.7,-87.0,1745,North America
San Salvador,El Salvador,Stratovolcano,13.73,-89.29,1893,North America
San Vicente,Cape Verde Islands,Stratovolcano,16.9,-25.0,697,Africa
Sanford,United States,Shield,62.22,-144.13,4949,North America
Sangay,Ecuador,Stratovolcano,-2.0,-78.34,5230,South America
Santa Ana,El Salvador,Stratovolcano,13.85,-89.63,2381,North America
Santa Maria,Guatemala,Stratovolcano,14.76,-91.55,3772,North America
Santorini,Greece,Shield,36.4,25.4,367,Europe
Sarychev Peak,Russia,Stratovolcano,48.09,153.2,1496,Europe
Savo,Solomon Islands,Stratovolcano,-9.13,159.82,485,Australia
Segula,United States,Stratovolcano,52.02,178.14,1160,North America
Semeru,Indonesia,Stratovolcano,-8.11,112.92,3676,Asia
Semisopochnoi,United States,Stratovolcano,51.93,179.58,1221,North America
Sete Cidades,Portugal,Stratovolcano,37.87,-25.78,856,Europe
Shasta,United States,Stratovolcano,41.41,-122.19,4317,North America
Sheveluch,Russia,Stratovolcano,56.65,161.36,3283,Europe
Shikotsu,Japan,Caldera,42.69,141.38,1320,Asia
Shiretoko-Iwo-zan,Japan,Stratovolcano,44.13,145.17,1563,Asia
Shishaldin,United States,Stratovolcano,54.76,-163.97,2857,North America
Sinarka,Russia,Stratovolcano,48.88,154.18,934,Europe
Smirnov,Russia,Stratovolcano,44.42,146.14,1189,Europe
Sollipulli,Chile,Caldera,-38.97,-71.52,2282,South America
